Adverse Event,Count
gastric ulcer,2
delusion of parasitosis,2
multiple drug therapy,2
heart rate decreased,2
non-alcoholic fatty liver,2
cerebral haematoma,2
hemiataxia,2
subarachnoid haemorrhage,2
metabolic nephropathy,2
astigmatism,2
brain contusion,2
myopia,2
rash vesicular,2
immune-mediated myasthenia gravis,2
blood uric acid increased,2
retinal detachment,2
lipid metabolism disorder,2
bronchopleural fistula,2
physical disability,2
bone marrow transplant,2
superficial spreading melanoma stage unspecified,2
sitting disability,2
macule,2
medical diet,2
obstructive airways disorder,2
jaw fracture,2
product use complaint,2
steroid diabetes,2
fractured coccyx,2
vertical infection transmission,2
vasculitis cerebral,2
magnetic resonance imaging brain abnormal,2
glomerulonephritis membranous,2
eosinophilia,2
substance-induced psychotic disorder,2
delusional perception,2
psychotic behaviour,2
vith nerve paralysis,2
vanishing bile duct syndrome,2
logorrhoea,2
meningism,2
tendonitis,2
forearm fracture,2
social problem,2
fractured sacrum,2
colitis,2
joint warmth,2
deformity,2
vitamin d decreased,2
shoulder arthroplasty,2
spinal operation,2
ventricular arrhythmia,2
chorioretinal atrophy,2
oxygen saturation decreased,2
gastric perforation,2
impaired healing,2
cardiac enzymes increased,2
breast mass,2
gait inability,2
renal atrophy,2
erosive duodenitis,2
granulomatous lymphadenitis,2
hypochromic anaemia,2
lymphadenitis bacterial,2
body temperature decreased,2
decreased interest,2
anuria,2
gastrointestinal oedema,2
joint range of motion decreased,2
rickets,2
cytopenia,2
skin induration,2
parkinsonism,2
euphoric mood,2
dysmetria,2
breast enlargement,2
status epilepticus,2
compression fracture,2
blood electrolytes abnormal,2
ichthyosis,2
punctate keratitis,2
cephalo-pelvic disproportion,2
selective abortion,2
hepatitis alcoholic,2
fracture pain,2
spleen malformation,2
breath sounds abnormal,2
lymphocytosis,2
oesophagitis,2
pharyngeal ulceration,2
hyperintensity in brain deep nuclei,2
protein-losing gastroenteropathy,2
weight bearing difficulty,2
ovarian disorder,2
maternal exposure timing unspecified,2
bronchial wall thickening,2
polycystic liver disease,2
bronchogenic cyst,2
hilar lymphadenopathy,2
oropharyngeal discomfort,2
lymph node abscess,2
lymph node ulcer,2
psoas abscess,2
retroperitoneal lymphadenopathy,2
joint contracture,2
toxoplasmosis,2
csf test abnormal,2
platelet transfusion,2
clumsiness,2
dyskinesia,2
congenital central nervous system anomaly,2
polyuria,2
cerebral cyst,2
cerebral calcification,2
cardiomegaly,2
hoffmann's sign,2
gun shot wound,2
blood phosphorus decreased,2
dermatitis,2
bundle branch block left,2
premature separation of placenta,2
induced labour,2
uterine hypotonus,2
large intestine perforation,2
hermaphroditism,2
drug administration error,2
gonadal dysgenesis,2
foetal cardiac disorder,2
haemorrhage in pregnancy,2
carotid artery stenosis,2
subacute sclerosing panencephalitis,2
bacterial vaginosis,2
haemochromatosis trait,2
underdose,2
throat irritation,2
panic reaction,2
fear of death,2
drug effect incomplete,2
osteomyelitis acute,2
internal haemorrhage,2
myoclonus,2
coagulopathy,2
incorrect dose administered,2
herbal interaction,2
yawning,2
chronic hepatitis b,2
hodgkin's disease,2
wrong technique in product usage process,2
tonsillitis,2
cutaneous tuberculosis,2
viral load,2
conjunctival hyperaemia,2
dialysis,2
troponin t increased,2
ischaemic stroke,2
alcohol poisoning,2
ventricular dysfunction,2
macular degeneration,2
hepatitis d,2
waist circumference increased,2
post infection glomerulonephritis,2
chronic lymphocytic leukaemia,2
hearing impaired,2
hepatic enzyme abnormal,2
retained products of conception,2
visual evoked potentials abnormal,2
bacterial infection,2
anal incontinence,2
hot flush,2
bladder outlet obstruction,2
contraindication to medical treatment,2
colon cancer,2
colectomy,2
hypovolaemic shock,2
haemothorax,2
prostate cancer,2
abscess,2
anogenital warts,2
sinusitis,2
mutism,2
menorrhagia,2
grimacing,2
retinal degeneration,2
echopraxia,2
subcutaneous abscess,2
ophthalmic herpes simplex,2
eye pain,2
heart rate increased,2
chronic hepatic failure,2
ergot poisoning,2
uterine haemorrhage,2
splenic thrombosis,2
pulmonary oedema,2
pupillary reflex impaired,2
osteosclerosis,2
iron deficiency anaemia,2
myiasis,2
burkitt's lymphoma,2
granuloma,2
biliary dyskinesia,2
ballismus,2
potentiating drug interaction,2
fat redistribution,2
beta 2 microglobulin urine increased,2
product quality issue,2
stomatitis,2
foreign body,2
endocarditis enterococcal,2
bone fragmentation,2
peritonitis,2
gastrointestinal tube insertion,2
chronic allograft nephropathy,2
arteriosclerosis coronary artery,2
cutaneous lupus erythematosus,2
psychomotor hyperactivity,2
anti-gad antibody positive,2
autonomic nervous system imbalance,2
sputum abnormal,2
autoantibody positive,2
filariasis,2
haematotoxicity,2
facial wasting,2
coordination abnormal,2
abnormal faeces,2
immunology test abnormal,2
dna antibody positive,2
albuminuria,1
physical deconditioning,1
malabsorption,1
cyst,1
malignant neoplasm progression,1
bone marrow oedema,1
ileal perforation,1
cytomegalovirus infection reactivation,1
clostridium difficile infection,1
blood urea decreased,1
staphylococcal bacteraemia,1
product dose omission in error,1
magnetic resonance imaging abnormal,1
pulmonary interstitial emphysema syndrome,1
past-pointing,1
excoriation,1
blepharitis,1
toxic encephalopathy,1
blood glucose decreased,1
uterine disorder,1
bartholinitis,1
hepatic cancer metastatic,1
intervertebral discitis,1
device related bacteraemia,1
throat tightness,1
posterior tibial tendon dysfunction,1
pelvic inflammatory disease,1
brain fog,1
generalised erythema,1
thyroiditis,1
facial paralysis,1
medication residue present,1
urinary hesitation,1
normochromic normocytic anaemia,1
t-lymphocyte count increased,1
photopsia,1
bronchial obstruction,1
tooth development disorder,1
procedural pain,1
libido increased,1
plasma cell myeloma,1
social anxiety disorder,1
hypovolaemia,1
cogwheel rigidity,1
xanthoma,1
joint stiffness,1
tuberculosis liver,1
aortic bruit,1
breech delivery,1
language disorder,1
dyspareunia,1
left atrial hypertrophy,1
fungal test positive,1
pharyngeal mucosa atrophy,1
alcohol abuse,1
adenocarcinoma,1
abortion,1
abdominal mass,1
asocial behaviour,1
rapid eye movements sleep abnormal,1
pneumonia streptococcal,1
ankle impingement,1
cholangitis,1
vasogenic cerebral oedema,1
high density lipoprotein abnormal,1
low density lipoprotein abnormal,1
injection site reaction,1
disinhibition,1
amniotic fluid volume increased,1
calculus ureteric,1
atrioventricular block second degree,1
bladder neoplasm,1
blood bilirubin abnormal,1
cellulitis gangrenous,1
female sterilisation,1
tumour excision,1
cerebral malaria,1
rotator cuff syndrome,1
accidental death,1
uterine contractions abnormal,1
muscle tightness,1
incontinence,1
emotional poverty,1
nodular regenerative hyperplasia,1
creatinine urine increased,1
periodontal disease,1
salpingectomy,1
acne,1
nephrectomy,1
helicobacter gastritis,1
uterine hypertonus,1
aspartate aminotransferase,1
muscle rupture,1
alanine aminotransferase,1
homicide,1
leukoencephalopathy,1
turner's syndrome,1
incorrect product storage,1
myelodysplastic syndrome,1
intentional dose omission,1
cyclothymic disorder,1
persecutory delusion,1
enteritis,1
underweight,1
escherichia urinary tract infection,1
arteriovenous fistula thrombosis,1
cystic fibrosis gastrointestinal disease,1
malacoplakia vesicae,1
appendicectomy,1
groin pain,1
bacteraemia,1
genital swelling,1
debridement,1
vaccination failure,1
dysplasia,1
myelitis,1
haemorrhoids,1
agoraphobia,1
impaired self-care,1
pulpless tooth,1
campylobacter gastroenteritis,1
abortion infected,1
walking disability,1
drowning,1
atelectasis,1
delusional disorder,1
unspecified type,1
anaphylactic shock,1
coagulation factor increased,1
eye pruritus,1
keratitis,1
tendon disorder,1
seasonal allergy,1
nicotine dependence,1
faeces soft,1
negative thoughts,1
prothrombin time prolonged,1
arterial disorder,1
activated partial thromboplastin time prolonged,1
soft tissue injury,1
tachycardia paroxysmal,1
haemophilus infection,1
feeling jittery,1
oxygen saturation abnormal,1
tooth extraction,1
non-alcoholic steatohepatitis,1
limb hypoplasia congenital,1
haematoma,1
apnoea,1
sinus headache,1
genital infection,1
colporrhaphy,1
conjunctival pallor,1
impaired driving ability,1
haemophilic arthropathy,1
erysipelas,1
demyelination,1
apraxia,1
cardiomyopathy,1
feeling cold,1
rectal perforation,1
somatic symptom disorder,1
drug effect less than expected,1
product supply issue,1
diabetic foot infection,1
peripheral arterial occlusive disease,1
drug ineffective for unapproved indication,1
photodermatosis,1
hiv wasting syndrome,1
regurgitation,1
peritoneal tuberculosis,1
amoebic dysentery,1
acid fast bacilli infection,1
urinary tract infection bacterial,1
product prescribing error,1
peritonsillar abscess,1
head titubation,1
american trypanosomiasis,1
mitral valve prolapse,1
labelled drug-disease interaction medication error,1
histoplasmosis cutaneous,1
aplastic anaemia,1
agranulocytosis,1
ventriculo-peritoneal shunt,1
vaginal infection,1
mucocutaneous candidiasis,1
varicella,1
spleen disorder,1
red blood cell sedimentation rate increased,1
skin laceration,1
acute pulmonary oedema,1
wound infection,1
sudden death,1
herpes virus infection,1
autonomic neuropathy,1
terminal state,1
cerebellar atrophy,1
type iv hypersensitivity reaction,1
conversion disorder,1
deafness,1
abscess neck,1
mental retardation,1
pneumonia klebsiella,1
pneumoperitoneum,1
coeliac artery stenosis,1
mental fatigue,1
mesenteric artery stenosis,1
psychotherapy,1
renal artery stenosis,1
umbilical cord compression,1
skin infection,1
optic neuritis,1
ulcer haemorrhage,1
white blood cells urine positive,1
blood bilirubin unconjugated increased,1
bone formation decreased,1
appendix disorder,1
adhesion,1
mechanical ventilation,1
oliguria,1
portal fibrosis,1
hypoaesthesia oral,1
gallbladder cholesterolosis,1
premature menopause,1
viral infection,1
bilirubin conjugated increased,1
graves' disease,1
pregnancy with injectable contraceptive,1
foreign body sensation in eyes,1
ocular discomfort,1
tongue ulceration,1
blood albumin decreased,1
sideroblastic anaemia,1
metabolic syndrome,1
pneumocystis jirovecii infection,1
pneumococcal sepsis,1
breast hyperplasia,1
dizziness postural,1
breast cancer recurrent,1
hyperammonaemia,1
glioblastoma,1
metastatic neoplasm,1
oesophageal adenocarcinoma,1
small cell lung cancer,1
cerebellar haemorrhage,1
covid-19 pneumonia,1
intracranial aneurysm,1
developmental delay,1
odynophagia,1
pregnancy with contraceptive device,1
ectopic pregnancy with contraceptive device,1
product dose omission issue,1
urinary tract disorder,1
self esteem decreased,1
skull fracture,1
arteriosclerosis moenckeberg-type,1
posture abnormal,1
spontaneous bacterial peritonitis,1
peroneal nerve palsy,1
abortion of ectopic pregnancy,1
soliloquy,1
in vitro fertilisation,1
monarthritis,1
periarthritis,1
tachyphrenia,1
urine analysis abnormal,1
carotid artery disease,1
cholesterosis,1
spirochaetal infection,1
multiple congenital abnormalities,1
arm amputation,1
product availability issue,1
hellp syndrome,1
pancreatic carcinoma,1
polyarthritis,1
disseminated leishmaniasis,1
masked facies,1
dysfunctional uterine bleeding,1
wound,1
acquired aminoaciduria,1
argininosuccinate synthetase deficiency,1
ehlers-danlos syndrome,1
polycystic ovaries,1
drug withdrawal syndrome,1
vulvovaginal warts,1
eye inflammation,1
blood test abnormal,1
musculoskeletal procedural complication,1
limb immobilisation,1
neuralgia,1
feeding disorder,1
ill-defined disorder,1
neck injury,1
enzyme level increased,1
collagen disorder,1
bone deformity,1
dysgraphia,1
feelings of worthlessness,1
upper motor neurone lesion,1
bronchiectasis,1
pulmonary septal thickening,1
shigella infection,1
wheezing,1
acute on chronic liver failure,1
gastrointestinal infection,1
urticaria papular,1
violence-related symptom,1
terminal insomnia,1
anaemia folate deficiency,1
monoparesis,1
maternal death during childbirth,1
hepatitis viral,1
nosocomial infection,1
pharyngeal inflammation,1
respiratory alkalosis,1
self-medication,1
limb discomfort,1
stab wound,1
oedema genital,1
magnetic resonance elastography,1
cholecystitis acute,1
vascular dementia,1
cerebral venous thrombosis,1
osteogenesis imperfecta,1
withdrawal syndrome,1
spinal cord infection,1
brain scan abnormal,1
tracheostomy,1
breech presentation,1
neck surgery,1
congenital nose malformation,1
evans syndrome,1
onychomadesis,1
anal pruritus,1
low density lipoprotein,1
splenic infarction,1
meningorrhagia,1
renal infarct,1
negativism,1
posturing,1
endocarditis staphylococcal,1
dysentery,1
aortic disorder,1
blood creatinine decreased,1
progressive vaccinia,1
vulval cellulitis,1
central obesity,1
subdural haematoma,1
blepharophimosis,1
congenital tongue anomaly,1
head injury,1
oesophageal pain,1
splenic abscess,1
jejunal perforation,1
peripheral vascular disorder,1
cystitis,1
orthosis user,1
onycholysis,1
nail dystrophy,1
mucous membrane disorder,1
anal abscess,1
hand deformity,1
excessive granulation tissue,1
general physical condition abnormal,1
tracheal mass,1
eyelid disorder,1
conjunctival disorder,1
acanthosis nigricans,1
pelvic venous thrombosis,1
empyema,1
myxoedema coma,1
blindness unilateral,1
turbinectomy,1
cor pulmonale,1
ventricular hypoplasia,1
post procedural sepsis,1
streptococcus test positive,1
mucosal inflammation,1
poisoning deliberate,1
vascular device infection,1
volvulus,1
vaginal discharge,1
sepsis syndrome,1
folliculitis,1
lid lag,1
neonatal disorder,1
scleroedema,1
foetal malpresentation,1
breast tenderness,1
coma scale abnormal,1
herpes zoster meningoencephalitis,1
placenta praevia,1
hepatorenal syndrome,1
abnormal sensation in eye,1
breast feeding,1
anogenital dysplasia,1
portal venous system anomaly,1
cirrhosis alcoholic,1
product formulation issue,1
hypercapnia,1
respiratory acidosis,1
respiratory depression,1
respiratory muscle weakness,1
skin irritation,1
blood culture positive,1
rash pustular,1
bladder irritation,1
skin graft,1
joint dislocation,1
wound necrosis,1
hypercreatinaemia,1
blood sodium decreased,1
diet refusal,1
angioplasty,1
hepatobiliary disease,1
tonsillar cyst,1
relapsing fever,1
pulmonary pain,1
plantar erythema,1
impulse-control disorder,1
aphonia,1
personality change,1
tension,1
traumatic lung injury,1
nasal congestion,1
cardiac tamponade,1
asphyxia,1
paresis,1
pelvic cyst,1
venous injury,1
positron emission tomogram abnormal,1
sudden infant death syndrome,1
aminoaciduria,1
arthritis reactive,1
injection site phlebitis,1
disseminated cryptococcosis,1
neoplasm skin,1
mycosis fungoides stage iv,1
corneal lesion,1
anticonvulsant drug level increased,1
acute hepatitis c,1
cryptorchism,1
neonatal respiratory distress,1
postictal state,1
vestibular disorder,1
congenital pyelocaliectasis,1
cervix carcinoma stage 0,1
mental disorder due to a general medical condition,1
chronic hepatitis c,1
insurance issue,1
lip pain,1
sepsis neonatal,1
necrotising colitis,1
mycobacterium tuberculosis complex test positive,1
hypersensitivity vasculitis,1
fibrosarcoma,1
meconium in amniotic fluid,1
hyperpyrexia,1
hypoglycaemia neonatal,1
secondary hypertension,1
mesangioproliferative glomerulonephritis,1
blood thyroid stimulating hormone,1
bulbar palsy,1
complication associated with device,1
heart transplant,1
accidental exposure to product,1
schizoaffective disorder bipolar type,1
mucosal discolouration,1
bradyphrenia,1
eyelid retraction,1
foetal distress syndrome,1
glioblastoma multiforme,1
bronchiolitis,1
product storage error,1
anticoagulation drug level above therapeutic,1
retinal perivascular sheathing,1
vascular compression,1
marrow hyperplasia,1
bradycardia foetal,1
feeding intolerance,1
floppy infant,1
haemolysis,1
hypoxic-ischaemic encephalopathy,1
crohn's disease,1
physical examination abnormal,1
patent ductus arteriosus,1
macrosomia,1
umbilical cord around neck,1
dysgeusia,1
histiocytosis haematophagic,1
procedural haemorrhage,1
phonophobia,1
imprisonment,1
diplegia,1
eye contusion,1
ear swelling,1
congenital tricuspid valve incompetence,1
nuchal rigidity,1
blepharospasm,1
mycobacterium avium complex immune restoration disease,1
anxiety disorder,1
autoimmune thyroiditis,1
tricuspid valve incompetence,1
renal failure chronic,1
helicobacter test positive,1
pneumonia influenzal,1
disseminated intravascular coagulation,1
rhonchi,1
glomerulonephritis acute,1
opportunistic infection,1
central nervous system infection,1
obsessive thoughts,1
mycobacterium kansasii infection,1
primary syphilis,1
blood pressure systolic increased,1
inclusion body myositis,1
eye disorder,1
csf lymphocyte count increased,1
mammoplasty,1
labour complication,1
aids related complex,1
abdominal abscess,1
transient tachypnoea of the newborn,1
poor sucking reflex,1
product taste abnormal,1
product physical issue,1
congenital knee dislocation,1
food aversion,1
foetal heart rate abnormal,1
oculomucocutaneous syndrome,1
gastrointestinal toxicity,1
mesenteric abscess,1
schizoaffective disorder,1
lymphoproliferative disorder,1
abdominal sepsis,1
pneumonia cryptococcal,1
ventricular tachycardia,1
electrocardiogram st segment abnormal,1
acquired cardiac septal defect,1
ischaemia,1
gingival recession,1
decreased immune responsiveness,1
cyst removal,1
hearing disability,1
hypoacusis,1
helicobacter infection,1
emotional disorder,1
genital burning sensation,1
genital rash,1
poor dental condition,1
skin burning sensation,1
pyuria,1
red blood cell count increased,1
laryngeal cancer,1
nerve compression,1
rubella,1
chronic sinusitis,1
intervertebral disc disorder,1
knee arthroplasty,1
haematology test abnormal,1
intervertebral disc space narrowing,1
meningitis aseptic,1
partner stress,1
sacroiliitis,1
shoulder operation,1
cd4 lymphocytes,1
vertebroplasty,1
burn oral cavity,1
oesophageal squamous cell carcinoma,1
squamous cell carcinoma,1
blood thyroid stimulating hormone increased,1
plantar fasciitis,1
musculoskeletal chest pain,1
fine motor skill dysfunction,1
loss of employment,1
personal relationship issue,1
pancreatic injury,1
mitral valve incompetence,1
mycobacterium test positive,1
cardiogenic shock,1
ilium fracture,1
chorioretinitis,1
amaurosis,1
renal hypoplasia,1
sleep disorder due to general medical condition,1
insomnia type,1
joint noise,1
somnambulism,1
leg amputation,1
breast abscess,1
morose,1
erythropoiesis abnormal,1
axillary vein thrombosis,1
subclavian vein thrombosis,1
kaposi's sarcoma aids related,1
leukaemia,1
joint destruction,1
metastases to liver,1
metastases to lung,1
genital disorder female,1
oesophageal squamous cell carcinoma metastatic,1
pericarditis,1
plasmablastic lymphoma,1
haemoglobin abnormal,1
glomerulonephritis chronic,1
peripheral ischaemia,1
intestinal varices,1
disability,1
anorectal varices,1
proctalgia,1
polyomavirus test positive,1
conjunctivitis allergic,1
hyperchloraemia,1
nephritis allergic,1
urinary tract obstruction,1
urosepsis,1
intention tremor,1
vith nerve disorder,1
type 2 lepra reaction,1
venous thrombosis,1
helplessness,1
spinal fusion surgery,1
arterial wall hypertrophy,1
vascular stenosis,1
crest syndrome,1
chest injury,1
joint arthroplasty,1
back disorder,1
staphylococcus test positive,1
varicella virus test positive,1
hypoperfusion,1
manufacturing issue,1
drooling,1
new onset diabetes after transplantation,1
lipoma,1
product name confusion,1
limb asymmetry,1
alcohol use,1
cystocele,1
comminuted fracture,1
anaemia of pregnancy,1
lepromatous leprosy,1
carbon dioxide increased,1
anticoagulation drug level below therapeutic,1
peripheral coldness,1
colorectal cancer,1
acquired porphyria,1
acute hiv infection,1
extradural abscess,1
pain of skin,1
gastric varices haemorrhage,1
retroviral infection,1
systemic infection,1
leukaemic infiltration,1
visual acuity tests abnormal,1
leishmaniasis,1
viral load decreased,1
oscillopsia,1
vitamin b12 decreased,1
cervical radiculopathy,1
obstructive nephropathy,1
gangrene,1
sacroiliac joint dysfunction,1
spinal column injury,1
hyporeflexia,1
hyperaesthesia,1
faecal incontinence,1
t-lymphocyte count decreased,1
genotype drug resistance test negative,1
bladder pain,1
substance abuse,1
hepatic cancer,1
adenocarcinoma of colon,1
transplant dysfunction,1
acidosis hyperchloraemic,1
enterostomy,1
gastroenteritis shigella,1
incorrect dosage administered,1
hypercreatininaemia,1
accident at work,1
blood pressure abnormal,1
hirsutism,1
cranial nerve palsies multiple,1
livedo reticularis,1
tanning,1
milia,1
hypertrichosis,1
skin striae,1
vaginal hyperplasia,1
walking aid user,1
blighted ovum,1
adrenal suppression,1
oesophageal disorder,1
coronary artery stenosis,1
eye movement disorder,1
hepatic amoebiasis,1
embolism venous,1
renal cell carcinoma,1
developmental regression,1
speech disorder developmental,1
myeloma cast nephropathy,1
bilevel positive airway pressure,1
fluid imbalance,1
herpes oesophagitis,1
respiratory arrest,1
drug therapeutic incompatibility,1
flank pain,1
scapula fracture,1
sternal fracture,1
coronary artery thrombosis,1
haemangioma,1
nephrosclerosis,1
angina unstable,1
congenital anomaly of adrenal gland,1
renal neoplasm,1
t-lymphocyte count abnormal,1
bronchopulmonary dysplasia,1
serotonin syndrome,1
anal cancer recurrent,1
bladder dilatation,1
gastrointestinal stoma necrosis,1
anal dilatation,1
diabetic nephropathy,1
glomerulosclerosis,1
kidney fibrosis,1
systemic candida,1
appetite disorder,1
acute abdomen,1
abdominal adhesions,1
intestinal tuberculosis,1
strangulated hernia,1
speech disorder,1
granulocytosis,1
pulmonary mycosis,1
mouth haemorrhage,1
product size issue,1
oral mucosa erosion,1
nikolsky's sign,1
genital erosion,1
hyperosmolar hyperglycaemic state,1
pseudomonal sepsis,1
hepatic congestion,1
gastroenteritis cryptococcal,1
