Adverse Event,Count,type
fracture pain,3,
intercapillary glomerulosclerosis,3,
burkitt's lymphoma,3,
maternal exposure during delivery,3,
beta 2 microglobulin urine increased,3,
platelet transfusion,3,
intervertebral disc operation,3,
accidental overdose,3,
obesity,3,
jaw fracture,3,
impaired fasting glucose,3,
pulmonary arterial hypertension,3,
partial seizures,3,
apoptosis,3,
kyphosis,3,
decreased interest,3,
joint range of motion decreased,3,
endocarditis enterococcal,3,
hepatic mass,3,
congenital cystic kidney disease,3,
beta haemolytic streptococcal infection,3,
tachyphrenia,3,
arteriosclerosis coronary artery,3,
ureterolithiasis,3,
hydroureter,3,
fractured sacrum,3,
intracranial mass,3,
pancreatitis chronic,3,
substance-induced psychotic disorder,3,
device related infection,3,
gastrointestinal mucormycosis,3,
acinetobacter infection,3,
meningitis bacterial,3,
bronchopulmonary aspergillosis,3,
optic neuropathy,3,
hot flush,3,
glycosylated haemoglobin increased,3,
haemorrhagic stroke,3,
movement disorder,3,
red blood cell count decreased,3,
adenocarcinoma gastric,3,
ulcer haemorrhage,3,
lung infection,3,
sinus tachycardia,3,
spinal muscular atrophy,3,
oral mucosal erythema,3,
oropharyngeal discomfort,3,
tongue disorder,3,
abasia,3,
vasculitis,3,
pneumonia klebsiella,3,
anogenital warts,3,
pharyngeal erythema,3,
neurosis,3,
throat tightness,3,
induced labour,3,
uterine hypotonus,3,
pharyngeal disorder,3,
pharyngeal erosion,3,
coagulopathy,3,
hypovolaemic shock,3,
epstein-barr virus infection,3,
respiratory tract infection viral,3,
deformity,3,
tonsillar inflammation,3,
joint warmth,3,
uterine dilation and evacuation,3,
conversion disorder,3,
microcytic anaemia,3,
csf glucose decreased,3,
mycobacterial infection,3,
liver abscess,3,
eosinophilia,3,
dermatitis,3,
drowning,3,
acanthosis,3,
metastases to liver,3,
hyperkeratosis,3,
cardio-respiratory arrest,3,
exophthalmos,3,
bile duct stone,3,
hypertransaminasaemia,3,
facial paresis,3,
carotid artery stenosis,3,
ventricular arrhythmia,3,
dry eye,3,
dermatitis bullous,3,
cheilitis,3,
pancreatitis necrotising,3,
blood creatine phosphokinase abnormal,3,
blister,3,
vaginal haemorrhage,3,
limb reduction defect,3,
retinal detachment,3,
blood test abnormal,3,
contraindicated drug administered,3,
brain injury,3,
bladder cancer,3,
social avoidant behaviour,3,
nerve compression,3,
viral load,3,
peripheral sensory neuropathy,3,
brain abscess,3,
performance status decreased,3,
foetal megacystis,3,
blood pressure decreased,3,
rectal haemorrhage,3,
complication of pregnancy,3,
gun shot wound,3,
nail discolouration,3,
alopecia areata,3,
blood albumin decreased,3,
heart rate increased,3,
vanishing twin syndrome,3,
dyskinesia,3,
erosive oesophagitis,3,
portal vein occlusion,3,
pleurisy,3,
hellp syndrome,3,
escherichia pyelonephritis,3,
colour blindness,3,
skin hypopigmentation,3,
hiv peripheral neuropathy,3,
leukaemia,3,
osteomyelitis acute,3,
bradykinesia,3,
hiv associated nephropathy,3,
white blood cell count increased,3,
brain death,3,
jc virus infection,3,
abulia,3,
upper gastrointestinal haemorrhage,3,
oral pain,3,
retained products of conception,3,
gastritis haemorrhagic,3,
head discomfort,3,
hyperchlorhydria,3,
cerebellar infarction,3,
gastric polyps,3,
locked-in syndrome,3,
spinal column injury,3,
initial insomnia,3,
oesophagitis,3,
menorrhagia,3,
comminuted fracture,2,
drug effect incomplete,2,
renal arteriosclerosis,2,
filariasis,2,
ventricular hypoplasia,2,
haematotoxicity,2,
ototoxicity,2,
fontanelle depressed,2,
obsessive thoughts,2,
ulcerative keratitis,2,
coronary artery occlusion,2,
somnambulism,2,
joint noise,2,
illusion,2,
mitral valve incompetence,2,
personal relationship issue,2,
loss of employment,2,
fine motor skill dysfunction,2,
eye irritation,2,
diaphragmatic hernia,2,
neck mass,2,
umbilical granuloma,2,
schizoaffective disorder,2,
deafness bilateral,2,
faeces soft,2,
helplessness,2,
genital disorder female,2,
orthosis user,2,
blood calcium decreased,2,
onycholysis,2,
blood pressure abnormal,2,
nail dystrophy,2,
mucous membrane disorder,2,
flank pain,2,
scapula fracture,2,
metastatic neoplasm,2,
sternal fracture,2,
hand deformity,2,
enteritis,2,
conjunctival disorder,2,
abnormal sensation in eye,2,
blood glucose decreased,2,
peripheral vascular disorder,2,
temperature intolerance,2,
macrocytosis,2,
seborrhoeic dermatitis,2,
joint destruction,2,
amylase abnormal,2,
tri-iodothyronine increased,2,
myxoedema coma,2,
thyroxine free increased,2,
encephalitis viral,2,
steroid diabetes,2,
oesophageal pain,2,
blood thyroid stimulating hormone decreased,2,
mental status changes,2,
skin reaction,2,
breast swelling,2,
cardiomyopathy,2,
magnetic resonance imaging brain abnormal,2,
disease risk factor,2,
sudden death,2,
drug administration error,2,
melanoderma,2,
holoprosencephaly,2,
meningocele,2,
cleft lip,2,
aids related complication,2,
haemorrhage in pregnancy,2,
papilloma viral infection,2,
fine motor delay,2,
ageusia,2,
epidermal necrosis,2,
anosmia,2,
nephritis,2,
growth retardation,2,
underweight,2,
embolism venous,2,
arthritis reactive,2,
madarosis,2,
protein-losing gastroenteropathy,2,
central nervous system infection,2,
conjunctival hyperaemia,2,
crepitations,2,
metastatic lymphoma,2,
use of accessory respiratory muscles,2,
waist circumference increased,2,
uveitis,2,
substance abuse,2,
scrotal ulcer,2,
penile ulceration,2,
colectomy,2,
bursitis infective,2,
focal dyscognitive seizures,2,
ergot poisoning,2,
eye pain,2,
penile exfoliation,2,
spinal manipulation,2,
capillary disorder,2,
opportunistic infection,2,
intraventricular haemorrhage neonatal,2,
bronchopleural fistula,2,
pupillary reflex impaired,2,
visual evoked potentials abnormal,2,
breast mass,2,
rash scarlatiniform,2,
superficial spreading melanoma stage unspecified,2,
hypomagnesaemia,2,
twin reversed arterial perfusion sequence malformation,2,
gangrene,2,
placenta praevia,2,
paresis,2,
hernia congenital,2,
strabismus,2,
pelvic inflammatory disease,2,
neurocryptococcosis,2,
haemangioma,2,
vith nerve paralysis,2,
umbilical cord abnormality,2,
troponin i increased,2,
ocular icterus,2,
csf test abnormal,2,
burn oral cavity,2,
emotional disorder,2,
delayed delivery,2,
genital burning sensation,2,
genital rash,2,
congenital toxoplasmosis,2,
poor dental condition,2,
skin burning sensation,2,
vaginal discharge,2,
acarodermatitis,2,
cardiac failure chronic,2,
gastric perforation,2,
impaired healing,2,
microscopic polyangiitis,2,
vertical infection transmission,2,
congenital naevus,2,
injection site phlebitis,2,
vanishing bile duct syndrome,2,
central hypothyroidism,2,
empty sella syndrome,2,
growth hormone deficiency,2,
hypotrichosis,2,
secondary adrenocortical insufficiency,2,
secondary hypogonadism,2,
hypopharyngeal cancer stage ii,2,
adrenal neoplasm,2,
extradural neoplasm,2,
leiomyoma,2,
schwannoma,2,
smooth muscle cell neoplasm,2,
spinal cord neoplasm,2,
thrombotic cerebral infarction,2,
gingival hypertrophy,2,
mucosal inflammation,2,
vascular device infection,2,
urine analysis abnormal,2,
lymphadenitis viral,2,
gastrointestinal inflammation,2,
ependymoma,2,
androgen deficiency,2,
meningism,2,
wound infection,2,
mitochondrial cytopathy,2,
epiretinal membrane,2,
vitreous haemorrhage,2,
extensor plantar response,2,
carotid artery disease,2,
demyelination,2,
portal vein embolism,2,
bile duct stent insertion,2,
post cholecystectomy syndrome,2,
cholecystitis chronic,2,
splenic fibrosis,2,
adrenal adenoma,2,
gastritis erosive,2,
intra-abdominal fluid collection,2,
pancreatic duct dilatation,2,
selective abortion,2,
chorioretinal atrophy,2,
oxygen saturation decreased,2,
cardiac enzymes increased,2,
hepatitis e,2,
koebner phenomenon,2,
papilloma,2,
product dispensing error,2,
quadriparesis,2,
erosive duodenitis,2,
systemic candida,2,
gastric ulcer,2,
lupus-like syndrome,2,
optic neuritis,2,
petechiae,2,
aortic valve sclerosis,2,
balanoposthitis,2,
electrocardiogram repolarisation abnormality,2,
infection reactivation,2,
mitral valve sclerosis,2,
osteochondrosis,2,
penile plaque,2,
penile swelling,2,
retinopathy hypertensive,2,
skin papilloma,2,
synovitis,2,
vertebrobasilar insufficiency,2,
cytomegalovirus pancreatitis,2,
disseminated mycobacterium avium complex infection,2,
heart failure with reduced ejection fraction,2,
ileus paralytic,2,
overweight,2,
skin warm,2,
pyramidal tract syndrome,2,
left atrial enlargement,2,
immune-mediated myasthenia gravis,2,
left ventricular enlargement,2,
snoring,2,
bone marrow transplant,2,
macule,2,
diabetic nephropathy,2,
delusion of parasitosis,2,
hypouricaemia,2,
heart rate decreased,2,
non-alcoholic fatty liver,2,
multiple drug therapy,2,
amoebic dysentery,2,
cerebral haematoma,2,
hemiataxia,2,
subarachnoid haemorrhage,2,
urinary tract infection bacterial,2,
metabolic nephropathy,2,
astigmatism,2,
brain contusion,2,
vasculitis cerebral,2,
myopia,2,
rash vesicular,2,
retinal haemorrhage,2,
evans syndrome,2,
scab,2,
anuria,2,
kidney fibrosis,2,
chest x-ray abnormal,2,
perineal abscess,2,
haemodialysis,2,
sleep disorder due to general medical condition,2,
insomnia type,2,
chronic sinusitis,2,
intervertebral disc disorder,2,
homicidal ideation,2,
sexually transmitted disease,2,
body temperature increased,2,
spinal fusion surgery,2,
procedural pain,2,
sinus headache,2,
creatinine urine increased,2,
rotator cuff syndrome,2,
thrombocytosis,2,
urethritis chlamydial,2,
negative thoughts,2,
oxygen saturation abnormal,2,
walking disability,2,
gastrointestinal oedema,2,
infarction,2,
pustule,2,
postictal state,2,
granulomatous lymphadenitis,2,
lymphadenitis bacterial,2,
lymphocytosis,2,
pharyngeal ulceration,2,
hyperintensity in brain deep nuclei,2,
weight bearing difficulty,2,
dermatomyositis,2,
acne,2,
ovarian disorder,2,
ligament sprain,2,
near death experience,2,
breath sounds abnormal,2,
bronchial wall thickening,2,
bronchogenic cyst,2,
hilar lymphadenopathy,2,
lymph node ulcer,2,
glomerulonephritis membranous,2,
psoas abscess,2,
retroperitoneal lymphadenopathy,2,
t-lymphocyte count abnormal,2,
blood creatinine decreased,2,
past-pointing,2,
rickets,2,
cytopenia,2,
skin induration,2,
arterial stenosis,2,
polycystic liver disease,2,
spleen malformation,2,
musculoskeletal procedural complication,2,
granulocyte count decreased,2,
pyelitis,2,
nicotine dependence,2,
seasonal allergy,2,
limb immobilisation,2,
neuralgia,2,
ill-defined disorder,2,
neck injury,2,
enzyme level increased,2,
collagen disorder,2,
product dose omission issue,2,
urinary tract disorder,2,
skull fracture,2,
impaired driving ability,2,
posture abnormal,2,
periarthritis,2,
non-scarring alopecia,2,
cross sensitivity reaction,2,
colitis,2,
tachycardia paroxysmal,2,
sensory loss,2,
foetal heart rate abnormal,2,
hepatitis alcoholic,2,
body temperature decreased,2,
cystitis,2,
cervical radiculopathy,2,
sacroiliac joint dysfunction,2,
renal neoplasm,2,
parkinsonism,2,
tuberculosis of central nervous system,2,
high density lipoprotein abnormal,2,
haemorrhoids,2,
low density lipoprotein abnormal,2,
dysmetria,2,
breast enlargement,2,
blood electrolytes abnormal,2,
punctate keratitis,2,
spinal operation,2,
lipid metabolism disorder,2,
atrioventricular block second degree,2,
campylobacter gastroenteritis,2,
neonatal respiratory distress,2,
personality change,2,
antisocial behaviour,2,
wrist deformity,2,
antinuclear antibody positive,2,
cutaneous tuberculosis,2,
autoantibody positive,2,
cutaneous lupus erythematosus,2,
anticoagulation drug level above therapeutic,2,
plasmodium malariae infection,2,
hermaphroditism,2,
gonadal dysgenesis,2,
dna antibody positive,2,
immunology test abnormal,2,
uterine disorder,2,
blood urea decreased,2,
albuminuria,2,
hepatitis d,2,
ileal perforation,2,
granuloma,2,
gastroenteritis cryptococcal,2,
leishmaniasis,2,
amniotic fluid volume increased,2,
traumatic fracture,2,
anal incontinence,2,
staphylococcal bacteraemia,2,
disinhibition,2,
anticoagulation drug level below therapeutic,2,
kaposi's sarcoma aids related,2,
antimitochondrial antibody positive,2,
amyloidosis,2,
congenital limb hyperextension,2,
anal atresia,2,
uterine contractions during pregnancy,2,
threatened labour,2,
cytomegalovirus enterocolitis,2,
foetal distress syndrome,2,
urticaria papular,2,
plasma cell myeloma,2,
crest syndrome,2,
bulbar palsy,2,
ruptured ectopic pregnancy,2,
bradycardia foetal,2,
fear of death,2,
acid fast bacilli infection,2,
potentiating drug interaction,2,
chapped lips,2,
umbilical cord around neck,2,
myiasis,2,
patent ductus arteriosus,2,
anti-gad antibody positive,2,
polyuria,2,
hoffmann's sign,2,
iron deficiency anaemia,2,
breast feeding,2,
contraindication to medical treatment,2,
folliculitis,2,
congenital teratoma,2,
panic reaction,2,
eye disorder,2,
conjunctival haemorrhage,2,
sinusitis,2,
anxiety disorder,2,
incorrect dose administered,2,
herbal interaction,2,
abscess,2,
neutropenic sepsis,2,
throat irritation,2,
underdose,2,
adenocarcinoma,2,
chronic hepatitis b,2,
tonsillitis,2,
blood phosphorus decreased,2,
large intestine perforation,2,
coronary artery stenosis,2,
odynophagia,2,
chronic hepatic failure,2,
ophthalmic herpes simplex,2,
retinal degeneration,2,
yawning,2,
rectal cancer,2,
macular degeneration,2,
bone fragmentation,2,
extradural abscess,2,
abnormal loss of weight,2,
pulmonary haemorrhage,2,
peritonitis,2,
congenital hydronephrosis,2,
psychomotor hyperactivity,2,
chronic lymphocytic leukaemia,2,
facial wasting,2,
fat redistribution,2,
dialysis,2,
chronic allograft nephropathy,2,
pyelocaliectasis,2,
osteosclerosis,2,
haemothorax,2,
foreign body,2,
product quality issue,2,
bacterial vaginosis,2,
maternal exposure before pregnancy,2,
splenic thrombosis,2,
brain scan abnormal,2,
haemochromatosis trait,2,
post infection glomerulonephritis,2,
proctalgia,2,
xanthoma,2,
musculoskeletal chest pain,2,
disability,2,
ectopic pregnancy with contraceptive device,2,
sputum abnormal,2,
subacute sclerosing panencephalitis,2,
learning disorder,2,
diplegia,2,
anal fistula infection,2,
autonomic nervous system imbalance,2,
biliary dyskinesia,2,
varicose vein,2,
abnormal faeces,2,
congenital hair disorder,2,
pneumonia cryptococcal,2,
haemophilus infection,2,
debridement,2,
clumsiness,2,
feeding disorder,2,
maternal exposure timing unspecified,2,
surgery,2,
hypovolaemia,2,
gastrointestinal tube insertion,2,
ballismus,2,
coordination abnormal,2,
negativism,2,
pulmonary oedema,2,
dysfunctional uterine bleeding,2,
myoclonus,2,
bartholinitis,2,
ovarian cyst,2,
posturing,2,
cephalo-pelvic disproportion,2,
gastrointestinal infection,2,
dry age-related macular degeneration,1,
prolonged labour,1,
ehlers-danlos syndrome,1,
coronavirus infection,1,
cogwheel rigidity,1,
alanine aminotransferase abnormal,1,
cholesterosis,1,
tendon disorder,1,
bronchopulmonary dysplasia,1,
pulmonary function test decreased,1,
anal pruritus,1,
congenital anomaly of adrenal gland,1,
angular cheilitis,1,
anal cancer recurrent,1,
argininosuccinate synthetase deficiency,1,
neck surgery,1,
acquired aminoaciduria,1,
tracheostomy,1,
intracardiac thrombus,1,
dental necrosis,1,
fluid retention,1,
prescription drug used without a prescription,1,
secondary hyperthyroidism,1,
renal artery stenosis,1,
myelitis,1,
erythropoiesis abnormal,1,
amaurosis,1,
conjunctivitis allergic,1,
renal hypoplasia,1,
breast abscess,1,
monarthritis,1,
polyarthritis,1,
morose,1,
wolf-hirschhorn syndrome,1,
pregnancy with injectable contraceptive,1,
asocial behaviour,1,
motion sickness,1,
soliloquy,1,
wound,1,
intracranial aneurysm,1,
drug effect less than expected,1,
hodgkin's disease stage iii,1,
blood thyroid stimulating hormone increased,1,
skin laceration,1,
chorioretinitis,1,
abortion of ectopic pregnancy,1,
intention tremor,1,
coeliac artery stenosis,1,
skin infection,1,
circulatory collapse,1,
urinary hesitation,1,
t-lymphocyte count increased,1,
bronchial obstruction,1,
psychotherapy,1,
intrauterine infection,1,
klinefelter's syndrome,1,
amniocentesis abnormal,1,
delivery,1,
mesenteric artery stenosis,1,
mental fatigue,1,
product availability issue,1,
connective tissue disorder,1,
procedural complication,1,
spontaneous bacterial peritonitis,1,
peroneal nerve palsy,1,
periodontal disease,1,
pseudomonal sepsis,1,
nephrectomy,1,
rapid eye movements sleep abnormal,1,
product formulation issue,1,
homicide,1,
orchitis,1,
hypoplastic nasal cartilage,1,
bladder irritation,1,
hypertensive heart disease,1,
alcohol abuse,1,
hepatobiliary disease,1,
amino acid level decreased,1,
tonsillar cyst,1,
cyst removal,1,
vestibular disorder,1,
hip surgery,1,
hearing disability,1,
portal fibrosis,1,
social anxiety disorder,1,
angina unstable,1,
pilonidal cyst,1,
arterial disorder,1,
portal venous system anomaly,1,
arteriovenous fistula thrombosis,1,
oral fungal infection,1,
sensation of foreign body,1,
terminal insomnia,1,
feeling jittery,1,
violence-related symptom,1,
premature menopause,1,
coronary artery thrombosis,1,
cerebral disorder,1,
magnetic resonance imaging head abnormal,1,
gallbladder cholesterolosis,1,
cytomegalovirus infection reactivation,1,
malabsorption,1,
feeling cold,1,
renal salt-wasting syndrome,1,
thyroiditis,1,
splenic abscess,1,
clostridium difficile infection,1,
device related bacteraemia,1,
drooling,1,
bladder pain,1,
rheumatoid arthritis,1,
bladder dilatation,1,
anal dilatation,1,
meningorrhagia,1,
disseminated leishmaniasis,1,
product size issue,1,
adrenal suppression,1,
intervertebral discitis,1,
malacoplakia vesicae,1,
ankle impingement,1,
nasal ulcer,1,
abortion infected,1,
soft tissue injury,1,
posterior tibial tendon dysfunction,1,
gastrointestinal stoma necrosis,1,
sciatic nerve injury,1,
faecal incontinence,1,
hyperaesthesia,1,
bone marrow oedema syndrome,1,
toxic encephalopathy,1,
groin pain,1,
cyclothymic disorder,1,
persecutory delusion,1,
magnetic resonance imaging abnormal,1,
viral load decreased,1,
cyst,1,
physical deconditioning,1,
transplant dysfunction,1,
dysentery,1,
endocarditis staphylococcal,1,
tumour excision,1,
language disorder,1,
appendicitis perforated,1,
hyporeflexia,1,
spirochaetal infection,1,
medication residue present,1,
leukoplakia,1,
addison's disease,1,
plasmablastic lymphoma,1,
injection site reaction,1,
laryngeal cancer,1,
rubella,1,
accidental death,1,
hypoaldosteronism,1,
tooth development disorder,1,
product prescribing error,1,
leukoencephalopathy,1,
dysphoria,1,
hangover,1,
intestinal varices,1,
cerebral malaria,1,
pneumococcal bacteraemia,1,
labelled drug-disease interaction medication error,1,
pulpless tooth,1,
metabolic encephalopathy,1,
vaginal infection,1,
uterine contractions abnormal,1,
abortion,1,
pancreatic injury,1,
endothelial dysfunction,1,
foreign body sensation in eyes,1,
pericarditis,1,
limb discomfort,1,
carbon dioxide increased,1,
limb hypoplasia congenital,1,
non-alcoholic steatohepatitis,1,
placenta praevia haemorrhage,1,
oesophageal squamous cell carcinoma,1,
activated partial thromboplastin time prolonged,1,
histoplasmosis cutaneous,1,
cardiogenic shock,1,
prothrombin time prolonged,1,
dysplasia,1,
burn oesophageal,1,
salpingectomy,1,
female sterilisation,1,
cellulitis gangrenous,1,
menopausal symptoms,1,
herpes virus infection,1,
appendicectomy,1,
colostomy,1,
necrobiosis,1,
umbilical cord compression,1,
somatic symptom disorder,1,
cystocele,1,
withdrawal syndrome,1,
congenital nose malformation,1,
diabetic foot infection,1,
colporrhaphy,1,
erysipelas,1,
pregnancy with contraceptive device,1,
peripheral arterial occlusive disease,1,
photodermatosis,1,
in vitro fertilisation,1,
vulvovaginal warts,1,
rectal perforation,1,
head titubation,1,
salmonella sepsis,1,
tuberculosis liver,1,
polyomavirus test positive,1,
autonomic neuropathy,1,
terminal state,1,
anorectal varices,1,
uterine hypertonus,1,
cerebellar atrophy,1,
blepharophimosis,1,
incontinence,1,
brain fog,1,
alanine aminotransferase,1,
eye inflammation,1,
retinal artery occlusion,1,
acidosis hyperchloraemic,1,
type iv hypersensitivity reaction,1,
blood bilirubin abnormal,1,
volvulus,1,
aspartate aminotransferase,1,
ocular discomfort,1,
apnoea,1,
parathyroid disorder,1,
genital infection,1,
pseudoporphyria,1,
vascular pseudoaneurysm,1,
small cell lung cancer,1,
oesophageal adenocarcinoma,1,
low density lipoprotein,1,
glioblastoma,1,
death of relative,1,
arm amputation,1,
bone deformity,1,
dysgraphia,1,
feelings of worthlessness,1,
monoparesis,1,
osteogenesis imperfecta,1,
spinal cord infection,1,
muscle rupture,1,
obstructive nephropathy,1,
breast cancer recurrent,1,
covid-19 pneumonia,1,
androgenetic alopecia,1,
breech delivery,1,
judgement impaired,1,
genital swelling,1,
gastric varices haemorrhage,1,
libido increased,1,
photopsia,1,
intertrigo,1,
tenosynovitis stenosans,1,
self esteem decreased,1,
family stress,1,
blindness transient,1,
affect lability,1,
skin candida,1,
systemic infection,1,
leukaemic infiltration,1,
upper motor neurone lesion,1,
heavy menstrual bleeding,1,
spleen disorder,1,
apraxia,1,
mouth haemorrhage,1,
oral mucosa erosion,1,
alcohol use,1,
staphylococcus test positive,1,
pneumocystis jirovecii infection,1,
hypoperfusion,1,
drug therapeutic incompatibility,1,
lipoma,1,
limb asymmetry,1,
acute on chronic liver failure,1,
metabolic syndrome,1,
jaundice cholestatic,1,
cerebral thrombosis,1,
ilium fracture,1,
sideroblastic anaemia,1,
haemoglobin abnormal,1,
tongue ulceration,1,
anaemia folate deficiency,1,
swollen tongue,1,
breast hyperplasia,1,
traumatic intracranial haemorrhage,1,
nikolsky's sign,1,
keratitis,1,
genital erosion,1,
hepatic cancer metastatic,1,
cerebral venous thrombosis,1,
vascular dementia,1,
blepharitis,1,
excoriation,1,
serotonin syndrome,1,
magnetic resonance elastography,1,
stent placement,1,
bronchiectasis,1,
pulmonary septal thickening,1,
shigella infection,1,
wheezing,1,
venous injury,1,
cd4 lymphocytes,1,
dizziness postural,1,
anticonvulsant drug level increased,1,
blood culture positive,1,
cardiac assistance device user,1,
hypercreatinaemia,1,
hypoglycaemia neonatal,1,
skin graft,1,
coronary arterial stent insertion,1,
retroviral infection,1,
pneumonia streptococcal,1,
adrenal insufficiency neonatal,1,
rash pustular,1,
hyperpyrexia,1,
corneal lesion,1,
bone graft lysis,1,
empyema,1,
tracheal mass,1,
excessive granulation tissue,1,
lip pain,1,
congenital foot malformation,1,
congenital hand malformation,1,
amniotic band syndrome,1,
congenital inguinal hernia,1,
foetal malpresentation,1,
wound necrosis,1,
blood sodium decreased,1,
dysgeusia,1,
diet refusal,1,
steatohepatitis,1,
schizoaffective disorder bipolar type,1,
single umbilical artery,1,
congenital megaureter,1,
kernig's sign,1,
skin striae,1,
livedo reticularis,1,
spina bifida occulta,1,
blood hiv rna decreased,1,
early satiety,1,
hiv infection cdc group iv,1,
hirsutism,1,
incorrect dosage administered,1,
gastroenteritis shigella,1,
enterostomy,1,
sickle cell anaemia,1,
adenocarcinoma of colon,1,
peripheral coldness,1,
pharyngeal mucosa atrophy,1,
histiocytosis haematophagic,1,
granulocytosis,1,
nodular regenerative hyperplasia,1,
mesenteric abscess,1,
congenital choroid plexus cyst,1,
amyotrophic lateral sclerosis,1,
intentional self-injury,1,
low set ears,1,
axillary vein thrombosis,1,
squamous cell carcinoma,1,
subclavian vein thrombosis,1,
venous thrombosis,1,
mucosal discolouration,1,
manufacturing issue,1,
bronchiolitis,1,
conjunctival pallor,1,
glioblastoma multiforme,1,
heart transplant,1,
hypoaesthesia oral,1,
anaemia of pregnancy,1,
vulval cellulitis,1,
product name confusion,1,
subdural haematoma,1,
abdominal abscess,1,
abdominal sepsis,1,
pulmonary mycosis,1,
decreased immune responsiveness,1,
neonatal disorder,1,
sepsis syndrome,1,
feeling of despair,1,
oliguria,1,
hepatic congestion,1,
hypoxic-ischaemic encephalopathy,1,
floppy infant,1,
developmental regression,1,
speech disorder developmental,1,
myeloma cast nephropathy,1,
poisoning deliberate,1,
bilevel positive airway pressure,1,
fluid imbalance,1,
feeding intolerance,1,
respiratory arrest,1,
neuroleptic malignant syndrome,1,
hypoplastic right heart syndrome,1,
rhonchi,1,
nuchal rigidity,1,
cholangitis,1,
hepatic cancer,1,
maternal death during childbirth,1,
autoimmune thyroiditis,1,
blepharospasm,1,
varicella virus test positive,1,
vascular stenosis,1,
arterial wall hypertrophy,1,
meningitis aseptic,1,
acanthosis nigricans,1,
central obesity,1,
haematology test abnormal,1,
congenital tongue anomaly,1,
haemophilic arthropathy,1,
mycobacterium test positive,1,
masked facies,1,
chemotherapy,1,
turner's syndrome,1,
conjunctivitis bacterial,1,
eye movement disorder,1,
ocular neoplasm,1,
breast neoplasm,1,
hysterectomy,1,
mycobacterium avium complex immune restoration disease,1,
coma scale abnormal,1,
heart valve operation,1,
helicobacter test positive,1,
inclusion body myositis,1,
infected skin ulcer,1,
primary syphilis,1,
streptococcus test positive,1,
contraindicated product administered,1,
glomerulonephritis acute,1,
mycobacterium kansasii infection,1,
vaccination failure,1,
right ventricular failure,1,
micturition frequency decreased,1,
carbon dioxide abnormal,1,
localised infection,1,
blood pressure diastolic increased,1,
myelodysplastic syndrome,1,
lid lag,1,
type 2 lepra reaction,1,
lepromatous leprosy,1,
myelopathy,1,
breast tenderness,1,
eyelid disorder,1,
herpes oesophagitis,1,
secondary hypertension,1,
pain of skin,1,
american trypanosomiasis,1,
renal infarct,1,
splenic infarction,1,
onychomadesis,1,
cirrhosis alcoholic,1,
white blood cells urine positive,1,
bone formation decreased,1,
bone marrow toxicity,1,
hypercapnia,1,
respiratory acidosis,1,
respiratory depression,1,
respiratory muscle weakness,1,
plantar erythema,1,
anembryonic gestation,1,
drug prescribing error,1,
alpha 1 foetoprotein,1,
congenital knee dislocation,1,
fungal test positive,1,
mesangioproliferative glomerulonephritis,1,
acute hiv infection,1,
acute pulmonary oedema,1,
hepatic amoebiasis,1,
visual acuity tests abnormal,1,
hepatorenal syndrome,1,
hyperosmolar hyperglycaemic state,1,
traumatic lung injury,1,
strangulated hernia,1,
aids related complex,1,
cardiac tamponade,1,
intestinal tuberculosis,1,
pelvic cyst,1,
acute abdomen,1,
positron emission tomogram abnormal,1,
sudden infant death syndrome,1,
aminoaciduria,1,
gingival recession,1,
pruritus allergic,1,
leprosy,1,
vitamin b12 decreased,1,
aphonia,1,
oscillopsia,1,
pulmonary pain,1,
head injury,1,
aortic bypass,1,
product storage error,1,
eye contusion,1,
blindness unilateral,1,
muscle tightness,1,
hodgkin's disease stage iv,1,
abdominal adhesions,1,
turbinectomy,1,
helicobacter gastritis,1,
false labour,1,
post procedural sepsis,1,
arteriosclerosis moenckeberg-type,1,
aortic disorder,1,
aortic bruit,1,
generalised erythema,1,
affective disorder,1,
cytomegalovirus test positive,1,
trisomy 21,1,
polycystic ovaries,1,
anaphylactic shock,1,
dysmenorrhoea,1,
orchitis noninfective,1,
mycosis fungoides stage iv,1,
cerebellar haemorrhage,1,
eye infection,1,
neoplasm skin,1,
disseminated intravascular coagulation,1,
joint dislocation,1,
diverticulum,1,
osteomyelitis bacterial,1,
hiv wasting syndrome,1,
stridor,1,
laryngomalacia,1,
poor feeding infant,1,
exposure to communicable disease,1,
cardiac aneurysm,1,
urogenital disorder,1,
drug use disorder,1,
hearing aid user,1,
red blood cell sedimentation rate increased,1,
nasal congestion,1,
asphyxia,1,
pneumococcal sepsis,1,
hyperammonaemia,1,
disseminated cryptococcosis,1,
epididymitis,1,
abscess neck,1,
crohn's disease,1,
jejunal perforation,1,
developmental delay,1,
pyuria,1,
red blood cell count increased,1,
neoplasm,1,
anogenital dysplasia,1,
mitral valve prolapse,1,
cranial nerve palsies multiple,1,
tanning,1,
milia,1,
hypertrichosis,1,
pancreatic carcinoma,1,
chest injury,1,
oedema genital,1,
stab wound,1,
vaginal hyperplasia,1,
impaired self-care,1,
blighted ovum,1,
agoraphobia,1,
tooth extraction,1,
aplastic anaemia,1,
relapsing fever,1,
peritonsillar abscess,1,
angioplasty,1,
calculus ureteric,1,
peritoneal tuberculosis,1,
malignant melanoma,1,
strongyloidiasis,1,
multiple sclerosis relapse,1,
diarrhoea infectious,1,
coagulation factor increased,1,
eye pruritus,1,
abdominal mass,1,
